10001,1.0,2013-2014,C-204,compulsory
10001,1.0,2013-2014,C-82,compulsory
10001,1.0,2013-2014,C-190,compulsory
10001,1.0,2013-2014,C-9,compulsory
10001,1.0,2013-2014,C-264,elective
10001,1.0,2013-2014,C-161,elective
10001,1.0,2013-2014,C-76,elective
10001,1.0,2013-2014,C-55,elective
10001,1.0,2013-2014,C-48,elective
10001,1.0,2013-2014,C-7,elective
10001,1.0,2014-2015,C-124,compulsory
10001,1.0,2014-2015,C-19,compulsory
10001,1.0,2014-2015,C-193,compulsory-elective
10001,1.0,2014-2015,C-108,compulsory-elective
10001,1.0,2014-2015,C-63,compulsory-elective
10001,1.0,2014-2015,C-50,compulsory-elective
10001,1.0,2014-2015,C-256,elective
10001,1.0,2014-2015,C-240,elective
10001,1.0,2014-2015,C-159,elective
10001,1.0,2014-2015,C-107,elective
10001,1.0,2014-2015,C-68,elective
10001,1.0,2014-2015,C-48,elective
10001,1.0,2015-2016,C-256,compulsory
10001,1.0,2015-2016,C-251,compulsory
10001,1.0,2015-2016,C-269,compulsory
10001,1.0,2015-2016,C-200,compulsory
10001,1.0,2015-2016,C-290,elective
10001,1.0,2015-2016,C-197,elective
10001,1.0,2015-2016,C-147,elective
10001,1.0,2015-2016,C-123,elective
10001,1.0,2015-2016,C-52,elective
10001,1.0,2016-2017,C-186,compulsory
10001,1.0,2016-2017,C-102,compulsory
10001,1.0,2016-2017,C-227,compulsory-elective
10001,1.0,2016-2017,C-89,compulsory-elective
10001,1.0,2016-2017,C-84,compulsory-elective
10001,1.0,2016-2017,C-21,compulsory-elective
10001,1.0,2016-2017,C-252,elective
10001,1.0,2016-2017,C-172,elective
10001,1.0,2016-2017,C-158,elective
10001,1.0,2016-2017,C-91,elective
10001,1.0,2016-2017,C-45,elective
10001,1.0,2017-2018,C-272,compulsory
10001,1.0,2017-2018,C-248,compulsory
10001,1.0,2017-2018,C-232,compulsory
10001,1.0,2017-2018,C-6,compulsory
10001,1.0,2017-2018,C-241,elective
10001,1.0,2017-2018,C-215,elective
10001,1.0,2017-2018,C-90,elective
10001,1.0,2017-2018,C-85,elective
10001,1.0,2017-2018,C-82,elective
10001,1.0,2017-2018,C-33,elective
10001,1.0,2018-2019,C-144,compulsory
10001,1.0,2018-2019,C-250,compulsory-elective
10001,1.0,2018-2019,C-243,compulsory-elective
10001,1.0,2018-2019,C-147,compulsory-elective
10001,1.0,2018-2019,C-133,compulsory-elective
10001,1.0,2018-2019,C-239,elective
10001,1.0,2018-2019,C-220,elective
10001,1.0,2018-2019,C-178,elective
10001,1.0,2018-2019,C-168,elective
10001,1.0,2018-2019,C-78,elective
10001,1.0,2018-2019,C-27,elective
10001,1.0,2019-2020,C-157,compulsory
10001,1.0,2019-2020,C-244,compulsory-elective
10001,1.0,2019-2020,C-183,compulsory-elective
10001,1.0,2019-2020,C-108,compulsory-elective
10001,1.0,2019-2020,C-267,elective
10001,1.0,2019-2020,C-250,elective
10001,1.0,2019-2020,C-246,elective
10001,1.0,2019-2020,C-135,elective
